Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/soap,622,0,1,1.725118655570666,0.7168001029640436,5.231700139120221,430.4887459807074,23.43753995448035,0.0,1,1,2,2,4,4,4,5,5,5,5
,Aggregated,622,0,1,1.725118655570666,0.7168001029640436,5.231700139120221,430.4887459807074,23.43753995448035,0.0,1,1,2,2,4,4,4,5,5,5,5
