Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/soap,1278,0,1,1.3028171424665058,0.6512999534606934,6.375500001013279,429.962441314554,3.311440392435055,0.0,1,1,1,1,1,2,2,2,6,6,6
,Aggregated,1278,0,1,1.3028171424665058,0.6512999534606934,6.375500001013279,429.962441314554,3.311440392435055,0.0,1,1,1,1,1,2,2,2,6,6,6
